[2025-12-30T11:48:17.648+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2509, completion-tokens, 48, total-tokens, 2557, cost-ms, 2332, requestId, 4fa89818-c8c4-9031-9e6d-38a59fcbcad6, temperature, 0
[2025-12-30T11:49:34.752+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2517, completion-tokens, 95, total-tokens, 2612, cost-ms, 2987, requestId, 6d4212e7-7cb0-9f0e-a76a-83f702346104, temperature, 0
[2025-12-30T11:49:40.646+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2517, completion-tokens, 90, total-tokens, 2607, cost-ms, 2841, requestId, 98baf782-d5b0-9ec6-b471-87db3f8a55f2, temperature, 0
[2025-12-30T11:49:46.827+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2514, completion-tokens, 86, total-tokens, 2600, cost-ms, 3288, requestId, 735229a4-ae32-90f3-8ec8-a9386283272b, temperature, 0
[2025-12-30T11:49:51.311+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2897, completion-tokens, 44, total-tokens, 2941, cost-ms, 1886, requestId, 137968a6-4186-9a59-8d89-199d92781faa, temperature, 0
[2025-12-30T11:49:56.187+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2979, completion-tokens, 44, total-tokens, 3023, cost-ms, 2453, requestId, 70313491-0401-9566-819e-d945940bb44c, temperature, 0
[2025-12-30T11:50:00.538+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3061, completion-tokens, 44, total-tokens, 3105, cost-ms, 1926, requestId, ae93224a-aae9-907e-aad7-0cd5ee0c324c, temperature, 0
[2025-12-30T11:50:06.776+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3143, completion-tokens, 44, total-tokens, 3187, cost-ms, 3760, requestId, d42c6a10-9be4-9e4f-98b2-83e97ee5ea2b, temperature, 0
[2025-12-30T11:50:11.194+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3225, completion-tokens, 44, total-tokens, 3269, cost-ms, 1908, requestId, fa338510-310a-9efb-b608-dec0acb72939, temperature, 0
[2025-12-30T11:50:15.882+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3307, completion-tokens, 44, total-tokens, 3351, cost-ms, 2150, requestId, dcf9e69f-0c9d-9b55-bfd1-4959d32ff7b0, temperature, 0
[2025-12-30T11:50:20.402+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3389, completion-tokens, 44, total-tokens, 3433, cost-ms, 1962, requestId, b27cb05e-790e-9c99-894c-f5f3639b5b9e, temperature, 0
[2025-12-30T11:50:25.789+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3471, completion-tokens, 44, total-tokens, 3515, cost-ms, 2070, requestId, 95ca0d27-58e8-90f9-9edb-a7f96995e000, temperature, 0
[2025-12-30T11:50:31.883+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3553, completion-tokens, 44, total-tokens, 3597, cost-ms, 2892, requestId, 7326f4fa-df2f-9650-a012-c45ca479c6d0, temperature, 0
[2025-12-30T11:50:37.535+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3635, completion-tokens, 44, total-tokens, 3679, cost-ms, 2675, requestId, 29af7bb7-67e3-90f6-b97f-7e436b267daf, temperature, 0
[2025-12-30T11:50:43.426+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3717, completion-tokens, 44, total-tokens, 3761, cost-ms, 2099, requestId, 6062c0b8-3a24-99bc-be94-285d4dd6c3b7, temperature, 0
[2025-12-30T11:50:49.906+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3799, completion-tokens, 44, total-tokens, 3843, cost-ms, 2372, requestId, 1dba8bc7-1ef0-9f09-bf3a-29bf775a821b, temperature, 0
[2025-12-30T11:50:55.884+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3881, completion-tokens, 44, total-tokens, 3925, cost-ms, 1988, requestId, b2f7087c-ca54-9f13-94f6-8fe9366eb4d9, temperature, 0
[2025-12-30T11:51:02.537+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3963, completion-tokens, 44, total-tokens, 4007, cost-ms, 2645, requestId, 67ad6046-4f0f-93e9-ad66-92a53cafd9a0, temperature, 0
[2025-12-30T11:51:09.979+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4045, completion-tokens, 44, total-tokens, 4089, cost-ms, 2978, requestId, 6afafba9-3736-9cdb-b684-514a5afed14b, temperature, 0
[2025-12-30T11:51:16.069+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4127, completion-tokens, 44, total-tokens, 4171, cost-ms, 2138, requestId, f8d75d67-7688-9f97-b9e9-62d10f4eec1d, temperature, 0
[2025-12-30T11:51:23.012+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 4209, completion-tokens, 44, total-tokens, 4253, cost-ms, 2530, requestId, f26e1f6a-c9cf-9327-aee5-b2370fa7a896, temperature, 0
[2025-12-30T14:43:21.373+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2513, completion-tokens, 92, total-tokens, 2605, cost-ms, 4693, requestId, 4b8be1b7-d958-96bc-90be-fc43fab1576c, temperature, 0
[2025-12-30T14:43:27.322+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2517, completion-tokens, 33, total-tokens, 2550, cost-ms, 2138, requestId, 318acc20-831c-92fd-80e8-0ab3672ce09a, temperature, 0
[2025-12-30T14:43:31.785+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2847, completion-tokens, 82, total-tokens, 2929, cost-ms, 3617, requestId, 8814239f-246b-9b42-bfda-0116a685b76c, temperature, 0
[2025-12-30T14:43:38.675+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2967, completion-tokens, 84, total-tokens, 3051, cost-ms, 3965, requestId, 0afc084a-7027-933b-9f25-133fd73aebba, temperature, 0
[2025-12-30T14:43:46.550+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3089, completion-tokens, 104, total-tokens, 3193, cost-ms, 4102, requestId, eb139aad-72ba-96bf-a6e4-8b3921455928, temperature, 0
[2025-12-30T14:43:55.537+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3231, completion-tokens, 81, total-tokens, 3312, cost-ms, 3012, requestId, fae681e7-093d-9ab2-b05a-c843607efc5a, temperature, 0
[2025-12-30T14:44:04.130+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2510, completion-tokens, 88, total-tokens, 2598, cost-ms, 3303, requestId, e0884290-9b1d-9b40-975e-a69bec0cf4d2, temperature, 0
[2025-12-30T14:44:11.440+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2895, completion-tokens, 90, total-tokens, 2985, cost-ms, 3410, requestId, 8f696dc7-303f-918b-9b2b-930d0957c98f, temperature, 0
[2025-12-30T14:44:18.459+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3023, completion-tokens, 100, total-tokens, 3123, cost-ms, 3843, requestId, b998a110-85bd-95fd-93b1-9a1ebf303176, temperature, 0
[2025-12-30T14:44:26.312+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3161, completion-tokens, 95, total-tokens, 3256, cost-ms, 3487, requestId, 37597d9f-dc44-9ac3-bf86-d3305e923fd4, temperature, 0
[2025-12-30T14:44:34.490+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3294, completion-tokens, 85, total-tokens, 3379, cost-ms, 3490, requestId, f2d56904-a177-9cbf-b4c6-93de3fdd55bf, temperature, 0
[2025-12-30T15:18:13.335+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2513, completion-tokens, 33, total-tokens, 2546, cost-ms, 2761, requestId, 1e6b8c1e-5b92-9f3c-86cc-5d6cffc4df70, temperature, 0
[2025-12-30T15:18:18.178+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2517, completion-tokens, 86, total-tokens, 2603, cost-ms, 3509, requestId, dd052ad7-3cf0-9391-8b41-b226eea3d8ed, temperature, 0
[2025-12-30T15:18:23.825+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2900, completion-tokens, 91, total-tokens, 2991, cost-ms, 3527, requestId, 7db03727-8ad9-9e63-bf7b-61d08cbaaacd, temperature, 0
[2025-12-30T15:18:31.813+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3029, completion-tokens, 82, total-tokens, 3111, cost-ms, 4345, requestId, 6f6f9437-e2ff-94c8-a55b-c45fed485380, temperature, 0
[2025-12-30T15:18:38.686+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3149, completion-tokens, 104, total-tokens, 3253, cost-ms, 3332, requestId, 09d58c82-2de1-9631-ad3c-ff8a286473c7, temperature, 0
[2025-12-30T15:18:49.403+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3291, completion-tokens, 81, total-tokens, 3372, cost-ms, 4933, requestId, a6f05b62-fa45-9d72-8db9-f5377ced2666, temperature, 0
[2025-12-30T15:18:59.046+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2510, completion-tokens, 88, total-tokens, 2598, cost-ms, 4038, requestId, e2d31677-edd5-9d1e-8644-bd63822253a2, temperature, 0
[2025-12-30T15:19:06.306+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2895, completion-tokens, 90, total-tokens, 2985, cost-ms, 3315, requestId, a39fd927-c330-9540-8ea7-3687b7c8b680, temperature, 0
[2025-12-30T15:19:33.145+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2513, completion-tokens, 92, total-tokens, 2605, cost-ms, 3760, requestId, 52c6fdf0-824d-9224-86bb-44757e9a48eb, temperature, 0
[2025-12-30T15:19:38.780+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2517, completion-tokens, 33, total-tokens, 2550, cost-ms, 1911, requestId, 68919152-2fb6-939e-ab5a-5e6eb0f62ba3, temperature, 0
[2025-12-30T15:19:42.481+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2847, completion-tokens, 82, total-tokens, 2929, cost-ms, 2874, requestId, 91e65042-4f2b-9b2d-a2a0-df58b17bac42, temperature, 0
[2025-12-30T15:19:49.157+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2967, completion-tokens, 84, total-tokens, 3051, cost-ms, 3893, requestId, f273afa4-38a4-9b86-88fe-799da6de55b6, temperature, 0
[2025-12-30T15:19:56.065+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3089, completion-tokens, 104, total-tokens, 3193, cost-ms, 3403, requestId, fa84a61d-5702-91ea-b02d-037177134672, temperature, 0
[2025-12-30T15:20:05.451+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3231, completion-tokens, 81, total-tokens, 3312, cost-ms, 3181, requestId, d00e09fe-21af-91ab-865b-976262ffc6b9, temperature, 0
[2025-12-30T15:20:13.666+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2510, completion-tokens, 86, total-tokens, 2596, cost-ms, 2948, requestId, e8cd4550-90c8-9172-b7c8-f38b78a05e93, temperature, 0
[2025-12-30T15:20:20.889+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2893, completion-tokens, 86, total-tokens, 2979, cost-ms, 3271, requestId, fb26b458-6a32-969a-b005-48ddaa99320a, temperature, 0
[2025-12-30T15:20:28.154+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3017, completion-tokens, 99, total-tokens, 3116, cost-ms, 3938, requestId, d9e1f597-4696-922c-957b-e8c02716d073, temperature, 0
[2025-12-30T15:20:37.477+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3154, completion-tokens, 87, total-tokens, 3241, cost-ms, 4714, requestId, 03bda84e-3f1b-90b8-8fca-4f5432bf2029, temperature, 0
[2025-12-30T15:20:46.179+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3279, completion-tokens, 84, total-tokens, 3363, cost-ms, 4507, requestId, 9a39d390-93d2-968f-930a-a4a949a12109, temperature, 0
[2025-12-30T15:20:54.079+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2514, completion-tokens, 94, total-tokens, 2608, cost-ms, 4645, requestId, 15ffe601-506d-9ca0-a086-74dc109b5067, temperature, 0
[2025-12-30T15:21:01.272+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2512, completion-tokens, 81, total-tokens, 2593, cost-ms, 3625, requestId, f39bcf2c-9d93-985e-a4e6-0d6aaaeea584, temperature, 0
[2025-12-30T15:21:08.242+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2890, completion-tokens, 83, total-tokens, 2973, cost-ms, 4362, requestId, 0fe6f4bc-a7e9-9586-a8e6-80738fdaaa62, temperature, 0
[2025-12-30T15:21:14.732+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2509, completion-tokens, 88, total-tokens, 2597, cost-ms, 3540, requestId, 37465d49-0982-9c17-b870-756add49302e, temperature, 0
[2025-12-30T15:26:22.045+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2513, completion-tokens, 36, total-tokens, 2549, cost-ms, 2250, requestId, f55a797c-7328-9e86-855f-2a1fcf8ede9d, temperature, 0
[2025-12-30T15:26:28.072+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2517, completion-tokens, 85, total-tokens, 2602, cost-ms, 2802, requestId, 13d540ee-1e47-9625-a3aa-e3d00158dc3d, temperature, 0
[2025-12-30T15:26:33.262+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2899, completion-tokens, 33, total-tokens, 2932, cost-ms, 1696, requestId, f8367309-57ad-9195-aca2-da33af0f9e3d, temperature, 0
[2025-12-30T15:26:36.785+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2970, completion-tokens, 82, total-tokens, 3052, cost-ms, 3066, requestId, 7555aafe-8334-9145-9677-b2c83c1f1c29, temperature, 0
[2025-12-30T15:26:42.443+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3090, completion-tokens, 33, total-tokens, 3123, cost-ms, 3336, requestId, efadc367-df7c-906f-be54-e7bfbf81da12, temperature, 0
[2025-12-30T15:27:47.424+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2514, completion-tokens, 92, total-tokens, 2606, cost-ms, 3307, requestId, 31f9331d-7136-900e-9adf-ca1d8069ec9e, temperature, 0
[2025-12-30T15:27:56.440+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2517, completion-tokens, 104, total-tokens, 2621, cost-ms, 3523, requestId, e31c0e13-2bb7-93f5-9b88-5a3b22ffa092, temperature, 0
[2025-12-30T15:28:07.391+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2918, completion-tokens, 81, total-tokens, 2999, cost-ms, 4984, requestId, d87ba2b3-ebf2-928e-a71d-ca301dbc3214, temperature, 0
[2025-12-30T15:28:15.992+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2510, completion-tokens, 88, total-tokens, 2598, cost-ms, 3351, requestId, 0fb88107-7bc1-9462-af9f-9363003724b0, temperature, 0
[2025-12-30T15:28:23.050+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2895, completion-tokens, 90, total-tokens, 2985, cost-ms, 3129, requestId, 75740863-9387-9f26-a785-1e4ccfcc99b6, temperature, 0
[2025-12-30T15:28:30.592+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3023, completion-tokens, 99, total-tokens, 3122, cost-ms, 4383, requestId, 4de91523-15bb-97b8-bf81-f3ef9affd8e8, temperature, 0
[2025-12-30T15:28:38.687+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3160, completion-tokens, 94, total-tokens, 3254, cost-ms, 3796, requestId, dee57a5f-230d-99e7-8753-c44f7ca113f8, temperature, 0
[2025-12-30T15:28:46.347+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3292, completion-tokens, 88, total-tokens, 3380, cost-ms, 3438, requestId, e310344c-9521-9b23-ae83-193fd62d96fd, temperature, 0
[2025-12-30T15:28:53.190+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2514, completion-tokens, 94, total-tokens, 2608, cost-ms, 3739, requestId, ac76f4b8-aa64-996c-b592-19f5d1812ff8, temperature, 0
[2025-12-30T15:28:59.799+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2512, completion-tokens, 81, total-tokens, 2593, cost-ms, 3262, requestId, af23694a-31d8-99a3-8a35-c5b13c973d9e, temperature, 0
[2025-12-30T15:29:05.895+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2890, completion-tokens, 84, total-tokens, 2974, cost-ms, 3636, requestId, 856ffa02-e3ad-9748-bba2-b10f789acc44, temperature, 0
[2025-12-30T15:29:11.607+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2509, completion-tokens, 88, total-tokens, 2597, cost-ms, 2828, requestId, 4121f1ac-e1a7-996a-9bbf-54cbc7f76c90, temperature, 0
[2025-12-30T15:32:54.841+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 495, completion-tokens, 36, total-tokens, 531, cost-ms, 1758, requestId, 143dec93-5ee4-9621-8aff-2394e6ca8bac, temperature, 0
[2025-12-30T15:33:05.299+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 493, completion-tokens, 35, total-tokens, 528, cost-ms, 1957, requestId, 836d4449-50c7-93fd-b8c5-12c94df4e250, temperature, 0
[2025-12-30T15:33:14.152+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 491, completion-tokens, 35, total-tokens, 526, cost-ms, 1615, requestId, fef8c632-c045-99c6-8e5c-9bbb610d7a61, temperature, 0
[2025-12-30T15:33:23.639+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 494, completion-tokens, 36, total-tokens, 530, cost-ms, 1663, requestId, 87430172-dc1b-96a4-b97d-55767cc5c455, temperature, 0
[2025-12-30T15:33:30.557+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 494, completion-tokens, 36, total-tokens, 530, cost-ms, 1709, requestId, d31f20c7-4d3e-9c2e-9e8f-361910c5ab6e, temperature, 0
[2025-12-30T15:33:37.421+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 494, completion-tokens, 35, total-tokens, 529, cost-ms, 1753, requestId, f6247523-39ee-969d-a9b3-22dc0790b959, temperature, 0
[2025-12-30T15:33:49.107+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 494, completion-tokens, 36, total-tokens, 530, cost-ms, 2375, requestId, 66541abd-e4b4-9f97-8e5d-31e379299d82, temperature, 0
[2025-12-30T15:33:59.739+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 498, completion-tokens, 45, total-tokens, 543, cost-ms, 1860, requestId, 7b2cb52b-1c01-9186-9079-efd11033c8ea, temperature, 0
[2025-12-30T15:40:52.534+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2514, completion-tokens, 54, total-tokens, 2568, cost-ms, 2506, requestId, 0cd19353-61ea-9a72-81a1-c058a1fcec9e, temperature, 0
[2025-12-30T15:40:59.974+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3474, completion-tokens, 92, total-tokens, 3566, cost-ms, 3681, requestId, e6183281-465c-9ced-9443-16d969c8081f, temperature, 0
[2025-12-30T15:41:05.544+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2517, completion-tokens, 33, total-tokens, 2550, cost-ms, 1711, requestId, a82df5ab-acf1-923c-a4a6-1e5ade9b1b7d, temperature, 0
[2025-12-30T15:41:09.805+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2847, completion-tokens, 82, total-tokens, 2929, cost-ms, 3413, requestId, b66b5888-c751-9bfd-9c0a-fe9489bea594, temperature, 0
[2025-12-30T15:41:19.298+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2967, completion-tokens, 84, total-tokens, 3051, cost-ms, 6541, requestId, ec19f446-1d28-9ae1-ba54-ead59902a191, temperature, 0
[2025-12-30T15:41:26.530+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3089, completion-tokens, 104, total-tokens, 3193, cost-ms, 3484, requestId, 9b84998b-3f72-94f7-8875-bfb6a23bd4ba, temperature, 0
[2025-12-30T15:41:37.900+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3231, completion-tokens, 81, total-tokens, 3312, cost-ms, 5136, requestId, 6b2a57dd-4238-9337-97cd-10f76c3aa582, temperature, 0
[2025-12-30T15:41:47.669+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2510, completion-tokens, 88, total-tokens, 2598, cost-ms, 4298, requestId, 41386fcb-1116-9676-b5de-683fd0e60aec, temperature, 0
[2025-12-30T15:41:55.687+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 2895, completion-tokens, 90, total-tokens, 2985, cost-ms, 3908, requestId, a9514202-d852-963d-9730-d294f9bb1b8b, temperature, 0
[2025-12-30T15:42:02.170+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3023, completion-tokens, 99, total-tokens, 3122, cost-ms, 3159, requestId, 558e4793-b9e8-9ff2-89c9-70cd634601a7, temperature, 0
[2025-12-30T15:42:09.811+08:00] model, qwen3-vl-plus, mode, qwen3-vl, ui-tars-version, undefined, prompt-tokens, 3160, completion-tokens, 94, total-tokens, 3254, cost-ms, 3217, requestId, 48d61487-aaa5-9d78-81f1-08bedc7ba0bd, temperature, 0
